,word1,word2,freq
443,배기가스,형성,4815
444,파우더,형성,4814
445,작업,형성,4810
446,소성,폭발,4798
447,처리,형성,4781
448,장비,형성,4780
449,접지,형성,4776
450,결합,형성,4770
451,기와,형성,4769
452,분쇄기,형성,4769
453,건조기,형성,4769
454,보호,형성,4767
455,영향,점화,4757
456,공기,스파크,4722
457,샘플,점화,4700
458,속도,형성,4683
459,가동,형성,4666
460,가열,화염,4662
461,공기,이동,4655
462,점화,제조,4654
463,인화,화재,4610
464,불꽃,화재,4600
465,가스,공기,4596
466,접촉,화재,4519
467,가스,방출,4518
468,가스,가연성,4494
469,연소,화재,4487
470,가열,분해,4449
471,미세,형성,4410
472,가스,접촉,4409
473,가연성,화염,4402
474,발행,점화,4396
475,설비,피해,4364
476,고체,설비,4362
477,농도,형성,4360
478,유기,형성,4358
479,공장,피해,4358
480,고체,공장,4357
481,공장,화재,4347
482,고온,형성,4344
483,형성,형태,4344
484,공기,설비,4343
485,공기,공장,4341
486,공장,설비,4340
487,최소,형성,4340
488,상한,형성,4339
489,설비,손상,4334
490,설비,화재,4334
491,공장,밀폐,4332
492,용기,증기,4331
493,설비,초기,4331
494,공장,혼합물,4329
495,공장,추가,4328
496,설비,추가,4328
497,공장,손상,4328
498,밀폐,설비,4327
499,공장,초기,4325
500,설비,혼합물,4325
501,공장,장소,4323
502,설비,장소,4323
503,공장,불꽃,4322
504,설비,통풍,4322
505,공장,통풍,4322
506,불꽃,설비,4321
507,설비,스파크,4321
508,가열,공기,4321
509,공장,스파크,4321
510,공장,상승,4320
511,공장,압력,4319
512,건물,설비,4318
513,건물,공장,4318
514,공장,폭발력,4318
515,설비,압력,4318
516,상승,설비,4318
517,설비,폭발력,4318
518,가스,인화,4317
519,위험성,화염,4312
520,공장,기계,4298
521,기계,설비,4297
522,공장,충격파,4297
523,설비,충격파,4297
524,설비,차로,4292
525,설비,위력,4291
526,설비,파괴,4291
527,적용,형성,4287
528,공장,차로,4282
529,예측,형성,4280
530,공장,파괴,4279
531,공장,위력,4279
532,분해,화재,4263
533,가열,분진,4253
534,마이크론,설비,4239
535,공장,마이크론,4233
536,방법,형성,4232
537,설비,연쇄반응,4231
538,공장,연쇄반응,4231
539,원칙,형성,4226
540,실용,형성,4226
541,연무,한계,4225
542,가연성,연소,4208
543,구름,폭발,4207
544,설비,입자,4206
545,공장,입자,4206
546,설비,확산,4205
547,공장,확산,4205
548,공장,축적,4202
549,설비,축적,4202
550,공장,하의,4199
551,설비,하의,4199
552,본질,형성,4194
553,진행,형성,4193
554,공기,밀폐,4191
555,가스,공장,4190
556,가연성,접촉,4190
557,질의,형성,4190
558,가스,설비,4188
559,밀폐,화재,4185
560,위험성,증기,4183
561,가스,증기,4179
562,고압,형성,4161
563,정적,형성,4159
564,대전,형성,4158
565,가공,형성,4153
566,인화,증기,4151
567,설비,주요,4146
568,밀폐,증기,4135
569,공장,주요,4135
570,설비,연소,4134
571,공장,연소,4127
572,구름,분진,4111
573,가연성,공기,4110
574,발화,화재,4109
575,폭발,화성,4108
576,방출,증기,4093
577,분진,용기,4092
578,증기폭발,폭발,4053
579,공기,방출,4048
580,가스,화염,4034
581,가연성,인화,3971
582,공기,접촉,3950
583,공장,작업,3941
584,설비,작업,3941
585,설비,접촉,3935
586,공기,인화,3929
587,가연성,증기,3928
588,공장,접촉,3925
589,가스,혼합물,3917
590,설비,수송,3904
591,가열,방출,3898
592,설비,이동,3897
593,설비,장비,3896
594,분쇄기,설비,3892
595,기와,설비,3892
596,설비,정전기,3892
597,공장,수송,3892
598,설비,처리,3892
599,건조기,설비,3892
600,배기가스,설비,3889
601,난류,설비,3889
602,설비,파우더,3888
603,결합,설비,3886
604,설비,접지,3886
605,방사,설비,3886
606,보호,설비,3886
607,공장,이동,3884
608,공장,장비,3884
609,공장,처리,3881
610,가연성,설비,3881
611,건조기,공장,3880
612,공장,정전기,3880
613,공장,분쇄기,3880
614,공장,기와,3880
615,설비,화염,3878
616,공장,난류,3878
617,공장,화염,3878
618,공장,파우더,3877
619,공장,배기가스,3877
620,공장,접지,3874
621,가연성,공장,3874
622,공장,방사,3874
623,결합,공장,3874
624,공장,보호,3874
625,점화,초과,3866
626,용기,화염,3859
627,설비,속도,3850
628,공장,속도,3839
629,가동,설비,3837
630,산화제,폭발,3837
631,미립,형성,3827
632,가동,공장,3826
633,일산화탄소,폭발,3820
634,가스,밀폐,3820
635,공기,불꽃,3799
636,분말,형성,3791
637,공기,위험성,3736
638,공기,연소,3714
639,가열,점화,3711
640,소생,폭발,3695
641,표면,형성,3694
642,성질,형성,3677
643,방출,설비,3654
644,공장,방출,3641
645,방출,화염,3636
646,구조,형성,3628
647,유해,폭발,3619
648,설비,증기,3610
649,불꽃,증기,3609
650,가스,스파크,3601
651,공장,증기,3597
652,가스,연소,3587
653,기체,연무,3579
654,반응,폭발,3566
655,영향,형성,3545
656,샘플,형성,3529
657,수분,형성,3527
658,분해,용기,3525
659,가연성,혼합물,3514
660,가연성,가열,3510
661,공기,용기,3504
662,밀폐,화염,3496
663,농도,설비,3490
664,미세,설비,3490
665,상한,설비,3489
666,설비,최소,3489
667,설비,유기,3483
668,공장,미세,3478
669,공장,농도,3478
670,고온,설비,3478
671,공장,최소,3477
672,공장,상한,3477
673,가스,고체,3475
674,공장,유기,3473
675,이산화탄소,폭발,3471
676,제조,형성,3468
677,고온,공장,3467
678,밀폐,혼합물,3466
679,방출,용기,3453
680,위험성,출시,3453
681,가스,피해,3451
682,가스,초기,3446
683,가스,압력,3436
684,설비,적용,3432
685,공장,적용,3432
686,독성,분진,3431
687,설비,인화,3429
688,설비,예측,3426
689,공장,예측,3426
690,가스,이동,3424
691,설비,형태,3423
692,공장,인화,3417
693,공장,형태,3411
694,가스,불꽃,3408
695,출시,화재,3398
696,가연성,밀폐,3398
697,가스,손상,3398
698,밀폐,스파크,3390
699,방법,설비,3384
700,설비,실용,3384
701,설비,원칙,3384
702,접촉,증기,3383
703,혼합물,화염,3379
704,공장,실용,3372
705,공장,방법,3372
706,공장,원칙,3372
707,가연성,이동,3352
708,가연성,수송,3351
709,용기,점화,3344
710,대전,설비,3341
711,고압,설비,3341
712,고압,공장,3341
713,설비,정적,3341
714,가공,공장,3339
715,가공,설비,3338
716,공장,본질,3337
717,본질,설비,3336
718,설비,진행,3336
719,설비,질의,3336
720,공장,진행,3336
721,공장,질의,3336
722,유기물질,폭발,3333
723,공장,정적,3330
724,공장,대전,3329
725,압력,화재,3322
726,가연성,스파크,3306
727,발행,형성,3305
728,인화,화염,3304
729,가스,마이크론,3302
730,가연성,용기,3299
731,초과,형성,3293
732,포함,폭발,3290
733,가스,추가,3287
734,가스,축적,3275
735,방출,인화,3266
736,가스,장소,3265
737,이동,화염,3252
738,가열,독성,3247
739,가스,통풍,3243
740,더스트,분진,3233
741,폭발,해산물,3232
742,공기,압력,3231
743,고체,화재,3223
744,독성,화재,3223
745,연소,증기,3218
746,가연성,고체,3209
747,가스,상승,3206
748,가스,수송,3193
749,가스,폭발력,3187
750,가스,건물,3186
751,가스,파괴,3182
752,가연성,불꽃,3177
753,고체,공기,3174
754,스파크,화염,3168
755,공기,수송,3167
756,가연성,정전기,3166
757,가스,기계,3165
758,가스,충격파,3163
759,가스,차로,3158
760,가스,위력,3156
761,기름,폭발,3153
762,위험성,혼합물,3146
763,공기,피해,3141
764,가연성,압력,3137
765,밀폐,이동,3133
766,가연성,추가,3124
767,독성,방출,3117
768,가스,연쇄반응,3115
769,분해,위험성,3112
770,가연성,초기,3110
771,가스,정전기,3110
772,가스,주요,3109
773,가연성,장소,3109
774,가연성,손상,3108
775,미립,설비,3107
776,가연성,피해,3106
777,가스,농도,3103
778,피해,화재,3103
779,가연성,파우더,3101
780,부식,분진,3097
781,공장,미립,3095
782,위험성,하수,3088
783,수송,화재,3085
784,가스,입자,3085
785,가스,확산,3079
786,가연성,축적,3078
787,가열,혼합물,3078
788,가스,하의,3077
789,가연성,장비,3075
790,가연성,난류,3074
791,지정,폭발,3072
792,액체,폭발,3072
793,가연성,방사,3071
794,가연성,배기가스,3070
795,인화,접촉,3068
796,점화,한계,3066
797,가연성,형태,3065
798,가연성,통풍,3065
799,연무,이상,3064
800,가열,형성,3061
801,가열,인화,3058
802,가연성,처리,3056
803,가스,파우더,3052
804,종이,폭발,3052
805,가연성,결합,3052
806,하수,화재,3051
807,가연성,접지,3048
